modified_Smelly_Classes,145,,BugsbeforeSmells,BugsAfterSmells,commits,churn,ex,2.0.10,2.1.2,2.1.9,2.2.0,2.2.1,2.2.5,2.3.3,2.3.10,2.5.3,2.5.5,2.5.7,2.5.9,2.6.0,2.6.2,2.6.3,2.6.6,2.6.9,2.8.0,2.9.9,3.0.8,3.1.2,3.1.6,3.1.7,3.1.9,3.1.11,3.2.0,3.2.2,3.4.0,3.5.0,3.8.1
admin/settings/plugins.php,42,Small,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
admin/settings/security.php,173,Medium,1,1,1,142,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0
admin/webservice/documentation.php,61,Medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
auth/cas/lang/en/authcas.php,75,Medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
backup/backup.php,381,Large,16,2,2,110,0,87,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
backup/backupscheduled.php,36,Small,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
backup/controller/backupcontroller.class.php,139,Medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
backup/moodle2/backupcoursetask.class.php,42,Small,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
backup/moodle2/backupstepslib.php,138,Medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
backup/moodle2/restorecoursetask.class.php,232,Medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
backup/moodle2/restorestepslib.php,138,Medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
backup/util/checks/backupcheck.class.php,87,Medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
backup/util/checks/restorecheck.class.php,232,Medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/dbops/backupcontrollerdbops.class.php,89,Medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
backup/util/dbops/backupplandbops.class.php,87,Medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
